benchmark,dimension,seed,true_eval_num,strategy_before,strategy_used,strategy_after,candidate_pred,true_fitness,current_best_after,improved,rejected_by_niche,niche_min_distance,niche_threshold,pred_mq,pred_tps,pred_gaussian
Ellipsoid,10,42,21,1,LCB-GPR,2,-152682.99554969618,1154.6233001178252,239.24814131277813,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,22,2,Global-RBF,3,-1869.7153745429064,1221.164080124657,239.24814131277813,False,False,14.592539156941312,0.0031622776601683794,350.1067440746135,-1869.7153745429073,331.9270245130715
Ellipsoid,10,42,23,3,Local-RBF,1,-1661.855751464041,1234.4836986868324,239.24814131277813,False,False,13.197730188733523,0.0031622776601683794,223.53939996422548,-1661.855751464041,259.09244155171547
Ellipsoid,10,42,24,1,LCB-GPR,2,-436212.7722920293,1052.1397666880985,239.24814131277813,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,25,2,Global-RBF,3,-570.0888464918431,290.79948035374537,239.24814131277813,False,False,9.503041174985023,0.0031622776601683794,308.8917774545673,-570.0888464918431,634.3778013223863
Ellipsoid,10,42,26,3,Local-RBF,1,-1629.9813672710238,1022.9614622766561,239.24814131277813,False,False,2.9487811109973,0.0031622776601683794,224.01615092531935,-1629.9813672710238,259.09244155171547
Ellipsoid,10,42,27,1,LCB-GPR,2,-427852.9581940405,1044.8186779410378,239.24814131277813,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,28,2,Global-RBF,2,-42.003624706641176,81.82753214773102,81.82753214773102,True,False,7.948980598010125,0.0031622776601683794,117.67641958781036,-42.00362470664106,415.9578359866366
Ellipsoid,10,42,29,2,Global-RBF,3,-64.87085311608075,275.3484746887698,81.82753214773102,False,False,5.884760839241749,0.0031622776601683794,154.89906202994956,210.88245740621915,-64.87085311608018
Ellipsoid,10,42,30,3,Local-RBF,1,-1922.1085818008364,1302.2826115407756,81.82753214773102,False,False,13.39686237001003,0.0031622776601683794,-0.42130119034214886,-1922.1085818008364,160.44994299470153
Ellipsoid,10,42,31,1,LCB-GPR,2,-557459.7644514394,1062.311832733978,81.82753214773102,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,32,2,Global-RBF,2,-1.9178189844412827,5.690033597993654,5.690033597993654,True,False,3.4214885982845202,0.0031622776601683794,-1.9178189844374174,73.80899183773545,48.98892089159415
Ellipsoid,10,42,33,2,Global-RBF,3,-7.549221303699483,36.258101553167776,5.690033597993654,False,False,2.2216024663388163,0.0031622776601683794,40.00855051587894,-7.549221303699483,49.204004594498656
Ellipsoid,10,42,34,3,Local-RBF,1,-1220.1187172101193,798.0963350561238,5.690033597993654,False,False,9.711827006966443,0.0031622776601683794,-24.631577406625475,-1220.118717210119,41.25855576515622
Ellipsoid,10,42,35,1,LCB-GPR,2,-502733.06604381715,1021.902861149373,5.690033597993654,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,36,2,Global-RBF,3,-5.84896416753827,37.43240874455632,5.690033597993654,False,False,1.6541679777396834,0.0031622776601683794,18.087003773869355,18.63488195324203,-5.848964167537815
Ellipsoid,10,42,37,3,Local-RBF,1,-1264.103726223249,635.1514795784854,5.690033597993654,False,False,7.974721718228653,0.0031622776601683794,-12.332618229695694,-1264.1037262232499,26.460181298572103
Ellipsoid,10,42,38,1,LCB-GPR,2,-443597.00397826266,1053.8053159152223,5.690033597993654,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,39,2,Global-RBF,3,-9.281178020520429,18.038184220261027,5.690033597993654,False,False,1.4875330580723118,0.0031622776601683794,4.3132044102901546,17.814606429424202,-9.281178020519746
Ellipsoid,10,42,40,3,Local-RBF,1,-655.4984512671311,519.0008683600324,5.690033597993654,False,False,9.757638081202883,0.0031622776601683794,-5.272422825548247,-655.4984512671309,19.99543979047411
Ellipsoid,10,42,41,1,LCB-GPR,2,-379247.38812546997,1017.5869275129892,5.690033597993654,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,42,2,Global-RBF,2,1.4895426611918765,3.1912787172651944,3.1912787172651944,True,False,0.9333768530240603,0.0031622776601683794,1.4895426611998346,7.619115209361212,4.033822141393898
Ellipsoid,10,42,43,2,Global-RBF,3,1.3824924991132548,5.0983370213804475,3.1912787172651944,False,False,0.6023673808386852,0.0031622776601683794,4.169678074432682,1.3824924991132548,7.50523919870659
Ellipsoid,10,42,44,3,Local-RBF,1,-27.29052724024144,55.77474689257889,3.1912787172651944,False,False,3.152748134437392,0.0031622776601683794,1.4917118118348043,-27.29052724024144,7.986561496381392
